address,pools,tier,smart,bot,edge,large,targetT,targetLarge,avgNotional,copyROI,copyT,targetCopyROI,targetCopyT,shares,maxShares,markets,categories,top,score_sources,risk
0x8d8580952e72014cd508ede860c73d0ca16fc436,strategy_push,C,100.0,35.9,100.0,1076,1298,1076,481,14.9,241,14.9,241,,,,,,existing,"burst_trading,opposite_side_same_market"
0xbb3559b5c40ba446ab9d043e6925e020a60db62a,strategy_push,B,100.0,34.9,100.0,972,1333,972,965,93.2,104,93.2,104,,,,,,existing,"opposite_side_same_market,open_copy_exposure"
0xe8725f4bd4de73c888dda35c4850f702c322819a,strategy_push,B,100.0,33.4,100.0,963,1022,806,1581,62.9,19,64.9,18,,,,,,existing,"opposite_side_same_market,open_copy_exposure"
0xb5b50a639a30e449cf707ad384f96d8af5c0205a,strategy_push,C,100.0,42.9,100.0,868,1167,868,318,74.4,222,74.4,222,,,,,,existing,opposite_side_same_market
0xacf8383491688a61a0e4dbba060122ba031be791,strategy_push,C,100.0,42.2,100.0,768,159,146,1106,53.5,258,39.1,54,,,,,,leaderboard_profit_7d,opposite_side_same_market
0x1aa20e9c2b2a3963dabb3bf8b36b39abbe2030cc,strategy_push,C,100.0,44.4,100.0,763,116,93,555,-12.0,2,0.0,0,,,,,,leaderboard_profit_7d,"burst_trading,opposite_side_same_market,open_copy_exposure"
0x361b16e3ddfe1d415d41008daac2631d94ab74fe,strategy_push,C,100.0,42.7,100.0,695,41,17,2967,0.0,0,0.0,0,,,,,,"existing,leaderboard_profit_30d","burst_trading,open_copy_exposure"
0xa66c59e25b7efe25bb7bdeb25227c998da4bcd67,strategy_push,C,100.0,39.9,100.0,692,527,451,5188,14.2,147,10.8,106,,,,,,existing,"burst_trading,opposite_side_same_market"
0x34a5bec41c0d593edee96fb1405e07ccf4529450,strategy_push,C,100.0,42.8,100.0,551,552,513,1732,88.6,101,96.7,92,,,,,,existing,"opposite_side_same_market,open_copy_exposure"
0xb36fb851c72e6da93884f97801c17cefc02053d0,strategy_push,B,100.0,30.2,100.0,475,686,434,309,59.1,146,58.7,133,,,,,,existing,opposite_side_same_market
